STATE,ER_AFAM_CARDIO,LAT,LON
ALABAMA,0.0029796756716948254,32.806671,-86.79113
ARKANSAS,0.002871856241913165,34.969704,-92.373123
DELAWARE,0.002230292566539218,39.318523,-75.507141
DISTRICT OF COLUMBIA,0.002388999938964844,38.9072,-77.0369
FLORIDA,0.002109942760050236,27.766279,-81.686783
GEORGIA,0.0023917035252299184,33.040619,-83.643074
ILLINOIS,0.0022961480172125886,40.349457,-88.986137
INDIANA,0.002445072292320418,39.849426,-86.258278
KANSAS,0.0026768282172840957,38.5266,-96.726486
KENTUCKY,0.002314880282557527,37.66814,-84.670067
LOUISIANA,0.0027165856394059875,31.169546,-91.867805
MARYLAND,0.002390088404407265,39.063946,-76.802101
MASSACHUSETTS,0.0015119999694824218,42.230171,-71.530106
MICHIGAN,0.003100874576005544,43.326618,-84.536095
MISSISSIPPI,0.0031728333018360734,32.741646,-89.678696
MISSOURI,0.0024705002285545005,38.456085,-92.288368
NEW JERSEY,0.0021736197051271,40.298904,-74.521011
NEW YORK,0.002420653190748223,42.165726,-74.948051
NORTH CAROLINA,0.00217775447841709,35.630066,-79.806419
OHIO,0.0025558281820300035,40.388783,-82.764915
OKLAHOMA,0.002698725704474472,35.565342,-96.928917
PENNSYLVANIA,0.00251975804283602,40.590752,-77.209755
SOUTH CAROLINA,0.0024003345274999067,33.856892,-80.945007
TENNESSEE,0.0026570019961813535,35.747845,-86.692345
TEXAS,0.002246663203300704,31.054487,-97.563461
VIRGINIA,0.0023402004633402175,37.769337,-78.169968
WISCONSIN,0.0025410000610351564,44.268543,-89.616508
