STATE,ER_AFAM_DIAB,LAT,LON
ALABAMA,0.11937965674904438,32.806671,-86.79113
ARKANSAS,0.10917293560676501,34.969704,-92.373123
DELAWARE,0.1046650367552337,39.318523,-75.507141
DISTRICT OF COLUMBIA,0.081,38.9072,-77.0369
FLORIDA,0.09211523237617268,27.766279,-81.686783
GEORGIA,0.10296068868113241,33.040619,-83.643074
ILLINOIS,0.08523105647710646,40.349457,-88.986137
INDIANA,0.1142984992712997,39.849426,-86.258278
KANSAS,0.11857918898240245,38.5266,-96.726486
KENTUCKY,0.10161500980141852,37.66814,-84.670067
LOUISIANA,0.10711770946492873,31.169546,-91.867805
MARYLAND,0.10632004419197666,39.063946,-76.802101
MASSACHUSETTS,0.081,42.230171,-71.530106
MICHIGAN,0.10631672376087233,43.326618,-84.536095
MISSISSIPPI,0.11619980198037858,32.741646,-89.678696
MISSOURI,0.09454469010169048,38.456085,-92.288368
NEW JERSEY,0.08534616799274972,40.298904,-74.521011
NEW YORK,0.10182625212906568,42.165726,-74.948051
NORTH CAROLINA,0.09353358692955246,35.630066,-79.806419
OHIO,0.10251037505440493,40.388783,-82.764915
OKLAHOMA,0.10887539581664964,35.565342,-96.928917
PENNSYLVANIA,0.10741652275251652,40.590752,-77.209755
SOUTH CAROLINA,0.10762803597157737,33.856892,-80.945007
TENNESSEE,0.10906110171865895,35.747845,-86.692345
TEXAS,0.1002031074915789,31.054487,-97.563461
VIRGINIA,0.1020332690234086,37.769337,-78.169968
WISCONSIN,0.096,44.268543,-89.616508
