STATE,ER_AFAM_RESPD,LAT,LON
ALABAMA,6.763243947572387E-4,32.806671,-86.79113
ARKANSAS,6.50563788974821E-4,34.969704,-92.373123
DELAWARE,5.249365710470332E-4,39.318523,-75.507141
DISTRICT OF COLUMBIA,3.0200000762939453E-4,38.9072,-77.0369
FLORIDA,4.576372415980888E-4,27.766279,-81.686783
GEORGIA,5.655445936939466E-4,33.040619,-83.643074
ILLINOIS,4.3738203977636877E-4,40.349457,-88.986137
INDIANA,7.2528511932232E-4,39.849426,-86.258278
KANSAS,6.78153138347006E-4,38.5266,-96.726486
KENTUCKY,6.702823229142562E-4,37.66814,-84.670067
LOUISIANA,5.658358078069536E-4,31.169546,-91.867805
MARYLAND,3.693663581174203E-4,39.063946,-76.802101
MASSACHUSETTS,3.990000152587891E-4,42.230171,-71.530106
MICHIGAN,5.53524135311026E-4,43.326618,-84.536095
MISSISSIPPI,6.686982028914451E-4,32.741646,-89.678696
MISSOURI,5.324934963106676E-4,38.456085,-92.288368
NEW JERSEY,3.8924882300703017E-4,40.298904,-74.521011
NEW YORK,2.5601621790252276E-4,42.165726,-74.948051
NORTH CAROLINA,5.568813273890366E-4,35.630066,-79.806419
OHIO,5.806347754806296E-4,40.388783,-82.764915
OKLAHOMA,7.873770096008263E-4,35.565342,-96.928917
PENNSYLVANIA,5.027059581621298E-4,40.590752,-77.209755
SOUTH CAROLINA,6.253980304374242E-4,33.856892,-80.945007
TENNESSEE,5.558355443587661E-4,35.747845,-86.692345
TEXAS,4.805207454312336E-4,31.054487,-97.563461
VIRGINIA,5.297841088807871E-4,37.769337,-78.169968
WISCONSIN,5.35E-4,44.268543,-89.616508
